date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:25:11	188/188	---MCZ	200	added ('OK')	text/plain	etag:CO6T6Ir/hugCEAE=	https://shawnmullaney.my-free.website/robots.txt		(from )
15:25:12	196962/196962	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Mar%202020%2023:23:36%20GMT	https://shawnmullaney.my-free.website/	/home/shawnm/websites/shawn.com/shawnmullaney.my-free.website/index.html	(from )
15:25:13	16690/16690	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2006%20Mar%202020%2023:23:36%20GMT	https://shawnmullaney.my-free.website/home.3ab5b528.js	/home/shawnm/websites/shawn.com/shawnmullaney.my-free.website/home.3ab5b528.js	(from https://shawnmullaney.my-free.website/)
15:25:14	15328/15328	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Mar%202020%2023:25:14%20GMT	https://shawnmullaney.my-free.website/s/cdn/v1.0/i/m?url=https%3A%2F%2Fstorage.googleapis.com%2Fproduction-websitebuilder-v1-0-3%2F743%2F247743%2F1D1y8SmF%2Fcdfe97697da942a491e6de7ea1bbd4df&methods=resize%2C500%2C5000	/home/shawnm/websites/shawn.com/shawnmullaney.my-free.website/s/cdn/v1.0/i/me87b.png	(from https://shawnmullaney.my-free.website/)
15:25:16	437483/437483	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Mar%202020%2023:25:13%20GMT	https://shawnmullaney.my-free.website/s/cdn/v1.0/i/m?url=https%3A%2F%2Fimages.unsplash.com%2Fphoto-1518770660439-4636190af475%3Fixlib%3Drb-1.2.1%26q%3D80%26fm%3Djpg%26crop%3Dentropy%26cs%3Dtinysrgb%26w%3D2000%26fit%3Dmax%26ixid%3DeyJhcHBfaWQiOjU1MTN9	/home/shawnm/websites/shawn.com/shawnmullaney.my-free.website/s/cdn/v1.0/i/ma32b.jpg	(from https://shawnmullaney.my-free.website/)
15:25:16	170474/170474	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Mar%202020%2023:23:37%20GMT	https://shawnmullaney.my-free.website/gallery	/home/shawnm/websites/shawn.com/shawnmullaney.my-free.website/gallery.html	(from https://shawnmullaney.my-free.website/)
15:25:17	175935/175935	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Mar%202020%2023:23:38%20GMT	https://shawnmullaney.my-free.website/location	/home/shawnm/websites/shawn.com/shawnmullaney.my-free.website/location.html	(from https://shawnmullaney.my-free.website/)
15:25:19	192515/192515	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Mar%202020%2023:23:39%20GMT	https://shawnmullaney.my-free.website/contact-us	/home/shawnm/websites/shawn.com/shawnmullaney.my-free.website/contact-us.html	(from https://shawnmullaney.my-free.website/)
15:25:19	60631/60631	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Mar%202020%2023:25:18%20GMT	https://shawnmullaney.my-free.website/s/cdn/v1.0/i/m?url=https%3A%2F%2Fimages.unsplash.com%2Fphoto-1486312338219-ce68d2c6f44d%3Fixlib%3Drb-1.2.1%26q%3D80%26fm%3Djpg%26crop%3Dentropy%26cs%3Dtinysrgb%26w%3D1000%26fit%3Dmax%26ixid%3DeyJhcHBfaWQiOjU1MTN9	/home/shawnm/websites/shawn.com/shawnmullaney.my-free.website/s/cdn/v1.0/i/mc04e.jpg	(from https://shawnmullaney.my-free.website/)
15:25:19	1169/1169	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Mar%202020%2023:25:19%20GMT	https://shawnmullaney.my-free.website/f512d032f7333941da00a88ce66efb9d.svg	/home/shawnm/websites/shawn.com/shawnmullaney.my-free.website/f512d032f7333941da00a88ce66efb9d.svg	(from https://shawnmullaney.my-free.website/)
15:25:20	1169/1169	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Mar%202020%2023:25:20%20GMT	https://shawnmullaney.my-free.website/facebook	/home/shawnm/websites/shawn.com/shawnmullaney.my-free.website/facebook	(from https://shawnmullaney.my-free.website/)
15:25:21	1169/1169	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Mar%202020%2023:25:21%20GMT	https://shawnmullaney.my-free.website/twitter	/home/shawnm/websites/shawn.com/shawnmullaney.my-free.website/twitter	(from https://shawnmullaney.my-free.website/)
